address,city,rn_wage,zip,facility_name,medicaid,private_pay,total_hours,street,medicare,fname,rn_hours,idph_id,lat,lon
309 MCHENRY AVENUE WOODSTOCK IL 60098,WOODSTOCK,28.3,60098,CROSSROADS C CTR WOODSTOCK,3482767,457105,34288,309 MCHENRY AVENUE,3155210,crossroads_care_ctr_woodstock_2014_0049999.xml.xml,14432,49999,42.3195,-88.442904
335 N Illinois St Crystal Lake IL 60014,Crystal Lake,27.43,60014,Crystal Pines Rehab & HCC,3850695,963218,35466,335 N Illinois St,1116823,crystal_pines_rehab_hcc_2014_0051052.xml.xml,27145,51052,42.249475,-88.313548
300 N Marietta St Greenup IL 62428,Greenup,21.87,62428,Cumberland Rehab & Health CC,721055,654402,13845,300 N Marietta St,443618,cumberland_rehab_health_cc_2014_0050583.xml.xml,4343,50583,39.251933,-88.156944
2883 S Taylor Avenue Springfield IL 62703,Springfield,0,62703,Curtiss Court,517528,103722,4891,2883 S Taylor Avenue,0,curtiss_court_2014_0037531.xml.xml,0,37531,39.764994,-89.616647
4540 S Michigan Ave Chicago IL 60653,Chicago,24.65,60653,Danforth House,0,0,5240,4540 S Michigan Ave,0,danforth_house_2014_0030577.xml.xml,458,30577,41.812287,-87.622993
1701 North Bowman Danville IL 61832,Danville,29.71,61832,Danville Care Center,4667468,308831,36834,1701 North Bowman,1597421,danville_care_center_2014_0032862.xml.xml,19488,32862,40.154389,-87.604609
1817 Crescent Drive Pekin IL 61554,Pekin,0,61554,Davies Square,504258,134364,5703,1817 Crescent Drive,0,davies_square_2014_0031955.xml.xml,0,31955,40.585945,-89.640031
4237 S Indiana Ave Chicago IL 60653,Chicago,24.65,60653,Davis House,0,0,5261,4237 S Indiana Ave,0,davis_house_2014_0030585.xml.xml,458,30585,41.817015,-87.621351
2001 Cedar Street Cairo IL 62914,Cairo,18.13,62914,Daystar Nursing & Rehab Ctr,2263585,107560,21163,2001 Cedar Street,783838,daystar_nursing_rehab_center_2014_0052316.xml.xml,8447,52316,37.002369,-89.178214
520 S Dearborn Ave Kankakee IL 60901,Kankakee,0,60901,Dearborn Court,1066740,112820,5696,520 S Dearborn Ave,0,dearborn_court_2014_0043208.xml.xml,0,43208,41.114756,-87.863466
1016 W Pershing Rd Decatur IL 62526,Decatur,23.23,62526,Decatur Manor Healthcare,4262762,119991,45434,1016 W Pershing Rd,0,decatur_manor_healthcare_2014_0049262.xml.xml,2509,49262,39.876421,-88.971016
136 S Dipper Lane Decatur IL 62522,Decatur,23.85,62522,Decatur Rehab & Hlth Care Ct,1248566,250593,13229,136 S Dipper Lane,0,decatur_rehab_health_care_ct_2014_0053124.xml.xml,4480,53124,39.841884,-89.000761
2600 N Annie Glidden DeKalb IL 60115,DeKalb,28.68,60115,DeKalb County Rehab  Nrsing,4597650,3793230,62533,2600 N Annie Glidden,1161779,dekalb_county_rehab_nursing_2014_0044321.xml.xml,44954,44321,41.955285,-88.77302
338 COUNTRY CLUB RD CENTRALIA IL 62801,CENTRALIA,0,62801,DIAMONDVIEW,540257,0,4944,338 COUNTRY CLUB RD,0,diamondview_2014_0038638.xml.xml,0,38638,38.529254,-89.097566
800 Division Street Dixon IL 61021,Dixon,27.57,61021,Dixon Rehab & HCC,2429311,1095451,29189,800 Division Street,355383,dixon_rehab_hcc_2014_0051870.xml.xml,7969,51870,41.833194,-89.470499
120 DODGE AVENUE EVANSTON IL 60202,EVANSTON,32.18,60202,DOBSON PLAZA,2549104,2518167,32072,120 DODGE AVENUE,1211468,dobson_plaza_2014_0051508.xml.xml,21048,51508,42.020162,-87.699651
1201 HAWTHORN ROAD SALEM IL 62881,SALEM,21.95,62881,DOCTORS NURSING & REHAB CTR,3088544,826247,31023,1201 HAWTHORN ROAD,2397833,doctors_nursing_rehab_center_2014_0046235.xml.xml,12082,46235,38.636744,-88.958728
3516 POWELL LANE MATTOON IL 61938,MATTOON,27.62,61938,DOUGLAS NURSING & REHAB CTR,1247793,372871,14005,3516 POWELL LANE,1388989,douglas_nursing_rehab_center_2014_0046250.xml.xml,3377,46250,39.490445,-88.400364
324 East Douglas Ave Jacksonville IL 62650,Jacksonville,0,62650,Douglas Terrace,501774,111880,5352,324 East Douglas Ave,0,douglas_terrace_2014_0035774.xml.xml,0,35774,39.7361,-90.22585
400 N County Farm Rd Wheaton IL 60187,Wheaton,31.3,60187,Du Page Convalescent Center,12730715,12382306,116999,400 N County Farm Rd,2603865,du_page_convalescent_center_2014_0008201.xml.xml,94408,8201,41.861513,-88.142693
1890 East Eagle St Kankakee IL 60901,Kankakee,0,60901,Eagle Court,970889,137258,5651,1890 East Eagle St,0,eagle_court_2014_0043224.xml.xml,0,43224,41.111816,-87.840042
6131 Park Ridge Road Loves Park IL 61111,Loves Park,27.32,61111,East Bank Center LLC,37808,136997,11660,6131 Park Ridge Road,3864737,east_bank_center_llc_2014_0047209.xml.xml,26084,47209,42.318432,-89.0681
"1400 E Washington StPittsfield 62363 IL State of Illinois, for the period from",62363,21.84,"State of Illinois, for the period from",Eastside Health & Rehab Ctr,1848457,736075,22568,1400 E Washington StPittsfield,464204,eastside_health_rehab_center_2014_0047456.xml.xml,4532,47456,40.53767,-96.702103
3850 EAST FULTON DECATUR IL 62521,DECATUR,34.71,62521,EASTSIDE TERRACE,461985,0,4683,3850 EAST FULTON,0,eastside_terrace_2014_0046979.xml.xml,405,46979,39.823593,-88.893239
100 Eastview Place Sullivan IL 61951,Sullivan,25.12,61951,Eastview Terrace,1580679,529416,18796,100 Eastview Place,118179,eastview_terrace_2014_0053009.xml.xml,2647,53009,39.602818,-88.593463
400 South Station Rd Glen Carbon IL 62034,Glen Carbon,25.31,62034,Eden Village Care Center,964987,4456994,36960,400 South Station Rd,1727261,eden_village_care_center_2014_0023382.xml.xml,13214,23382,38.771807,-89.947659
401 St Mary Drive Edwardsville IL 62025,Edwardsville,24.01,62025,Edwardsville Nsg & Rehab Ctr,3037400,962192,33622,401 St Mary Drive,586262,edwardsville_nsg_rehab_ctr_2014_0046540.xml.xml,10794,46540,38.79659,-89.936835
808 Southwest Place Edwardsville IL 62025,Edwardsville,0,62025,Edwardsville Terrace,615083,123228,5259,808 Southwest Place,0,edwardsville_terrace_2014_0038844.xml.xml,0,38844,38.786048,-89.980865
1610 N Lakewood Dr Effingham IL 62401,Effingham,23.37,62401,Effingham Rehab & Hlth C Ctr,1004711,345909,13573,1610 N Lakewood Dr,373561,effingham_rehab_health_c_ctr_2014_0047159.xml.xml,7795,47159,39.125071,-88.564172
1101 South 3rd St Effingham IL 62401,Effingham,0,62401,Effingham Terrace,429332,173717,5304,1101 South 3rd St,0,effingham_terrace_2014_0034041.xml.xml,0,34041,39.112696,-88.541018
850 East Second St El Paso IL 61738,El Paso,26.47,61738,El Paso Health Care Center,4094087,162224,42544,850 East Second St,104108,el_paso_health_care_center_2014_0050914.xml.xml,5636,50914,40.740873,-89.002848
1931 West 19th St Chicago IL 60608,Chicago,30.11,60608,El Valor Residence,0,0,3954,1931 West 19th St,0,el_valor_residence_2014_0028514.xml.xml,1060,28514,41.855782,-87.674178
540 Pleasant Street Elizabeth IL 61028,Elizabeth,23.83,61028,Elizabeth Nursing Home,0,0,13589,540 Pleasant Street,0,elizabeth_nursing_home_2014_0008300.xml.xml,8684,8300,42.313379,-90.220458
801 Market Street Evansville IL 62242,Evansville,21.65,62242,Ellner Terrace,615154,0,5546,801 Market Street,0,ellner_terrace_2014_0047803.xml.xml,503,47803,38.091785,-89.935133
127 West Diversey Elmhurst IL 60126,Elmhurst,36.75,60126,Elmbrook Nursing,6502243,1351222,58284,127 West Diversey,964933,elmbrook_nursing_2014_0051177.xml.xml,26324,51177,41.928239,-87.940201
200 East Lake Street Elmhurst IL 60126,Elmhurst,35.16,60126,Elmhurst Extended Care Ctr,389876,3892794,27351,200 East Lake Street,1050293,elmhurst_extended_care_center_2014_0052589.xml.xml,15960,52589,41.911218,-87.936309
1212 Madelyn Avenue Macomb IL 61455,Macomb,25.61,61455,The Elms,2734234,1755390,33997,1212 Madelyn Avenue,604046,elms_2014_0021568.xml.xml,12374,21568,40.445971,-90.66123
7733 West Grand Ave Elmwood Park IL 60707,Elmwood Park,29.97,60707,Elmwood Care,8712996,398512,67554,7733 West Grand Ave,1330412,elmwood_care_2014_0040410.xml.xml,35439,40410,41.926094,-87.819893
152 Wilma Drive Maryville IL 62062,Maryville,17.85,62062,Elmwood Nursing & Rehab Ctr,2412382,449530,24241,152 Wilma Drive,326982,elmwood_nursing_rehab_center_2014_0041210.xml.xml,3189,41210,38.711308,-89.958319
1017 W Galena Aurora IL 60506,Aurora,25.24,60506,Elmwood Terrace Hlthcare Ctr,2706845,79380,21103,1017 W Galena,1118335,elmwood_terrace_healthcare_ctr_2014_0046128.xml.xml,9942,46128,41.762461,-88.340088
4340 N Keystone Ave Chicago IL 60641,Chicago,26.45,60641,Elston Nrsing & Rehab Centre,5210354,233221,39202,4340 N Keystone Ave,613643,elston_nursing_rehab_centre_2014_0004861.xml.xml,23310,4861,41.960115,-87.729475
1577 E Myrtle Bx 232 Canton IL 61520,Canton,0,61520,Emerald Estates,611192,0,5749,1577 E Myrtle Bx 232,0,emerald_estates_2014_0039354.xml.xml,0,39354,40.564485,-90.008937
408 North Wilson St Enfield IL 62835,Enfield,20.1,62835,Enfield Rehab & Hlth Care Ct,674069,238550,8325,408 North Wilson St,196763,enfield_rehab_health_care_ct_2014_0053157.xml.xml,2977,53157,38.102367,-88.336779
4505 S Drexel Blvd Chicago IL 60653,Chicago,30.82,60653,The Estates of Hyde Park,2474691,74208,22549,4505 S Drexel Blvd,178872,estates_of_hyde_park_2014_0052837.xml.xml,6970,52837,41.813275,-87.603902
1251 College Avenue Alton IL 62002,Alton,30.18,62002,Eunice Smith Home,149682,2142208,18937,1251 College Avenue,1668199,eunice_smith_home_2014_0008409.xml.xml,13075,8409,38.903309,-90.159387
215 East Washington Pontiac IL 61764,Pontiac,24.33,61764,Evenglow Lodge,810641,4963201,48032,215 East Washington,1356229,evenglow_lodge_2014_0008425.xml.xml,12774,8425,40.879555,-88.627391
1115 NORTH WENTHE EFFINGHAM IL 62401,EFFINGHAM,22.23,62401,EVERGREEN NRSING & REHAB CTR,1595051,1856734,32387,1115 NORTH WENTHE,2858488,evergreen_nursing_rehab_ctr_2014_0046417.xml.xml,9221,46417,39.136369,-88.557332
2601 Woodlawn Road Sterling IL 61081,Sterling,26.12,61081,Exceptional Cr & Training Ctr,5189059,0,29817,2601 Woodlawn Road,0,exceptional_cr_training_ctr_2014_0035477.xml.xml,4264,35477,41.801639,-89.666401
1790 S Fairview Ave Decatur IL 62521,Decatur,26.4,62521,Fair Havens Christian Home,3957115,2330121,51306,1790 S Fairview Ave,-965330,fair_havens_christian_home_2014_0018143.xml.xml,22452,18143,39.822015,-88.977069
471 TERRA COTTA AVE CRYSTAL LAKE IL 60014,CRYSTAL LAKE,30.75,60014,FAIR OAKS HEALTH CARE CENTER,0,0,15853,471 TERRA COTTA AVE,0,fair_oaks_health_care_center_2014_0040915.xml.xml,12900,40915,42.247948,-88.33824
1515 Blackhawk South Beloit IL 61080,South Beloit,30.18,61080,Fair Oaks Rehab & HCC,2663398,692844,26236,1515 Blackhawk,566295,fair_oaks_rehab_hcc_2014_0050963.xml.xml,12268,50963,42.479653,-89.04537
3470 NORTH ALPINE RD ROCKFORD IL 61114,ROCKFORD,20.35,61114,FAIRHAVEN CHRISTIAN RET CTR,1285248,9305109,55553,3470 NORTH ALPINE RD,0,fairhaven_christian_ret_center_2014_0027987.xml.xml,20099,27987,42.309843,-89.029221
5061 N Pulaski Road Chicago IL 60630,Chicago,28.29,60630,Fairmont Care Centre,0,0,51402,5061 N Pulaski Road,0,fairmont_care_centre_2014_0040493.xml.xml,52509,40493,41.973929,-87.728186
605 North 4th St Fairbury IL 61739,Fairbury,28.55,61739,Fairview Haven,569202,3138837,20793,605 North 4th St,456869,fairview_haven_2014_0008524.xml.xml,6993,8524,40.752939,-88.511719
602 East Jackson Du Quoin IL 62832,Du Quoin,21.38,62832,Fairview Nursing Center,1143770,781805,19314,602 East Jackson,439976,fairview_nursing_center_2014_0024992.xml.xml,8015,24992,38.002045,-89.230756
100 Faith Drive Highland IL 62249,Highland,20.64,62249,Faith Care Center,293300,3671226,26670,100 Faith Drive,523444,faith_care_center_2014_0044552.xml.xml,9459,44552,38.727179,-89.677296
404 Brookview Drive Farmer City IL 61842,Farmer City,23.5,61842,Farmer City Rehab & Hlth Cr,-867923,-1132045,17863,404 Brookview Drive,-380495,farmer_city_rehab_health_cr_2014_0050922.xml.xml,3423,50922,40.247795,-88.650284
701 South Main St Farmington IL 61531,Farmington,24.06,61531,Farmington Country Manor,1271647,1736367,26812,701 South Main St,662890,farmington_country_manor_2014_0045187.xml.xml,9199,45187,40.689841,-90.005888
650 W TAYLOR VANDALIA IL 62471,VANDALIA,3,62471,FAYETTE COUNTY HOSPITAL LTC,0,0,20757,650 W TAYLOR,0,fayette_county_hospital_ltc_2014_8000846.xml.xml,12278,8000846,38.970558,-89.098187
1030 MLK DRIVE CENTRALIA IL 62801,CENTRALIA,23.05,62801,FIRESIDE HOUSE OF CENTRALIA,0,0,32983,1030 MLK DRIVE,0,fireside_house_of_centralia_2014_0051755.xml.xml,8745,51755,38.424293,-88.793227
407 North First St Ashton IL 61006,Ashton,25.43,61006,First Street Group Home,0,0,5591,407 North First St,0,first_street_group_home_2014_0041152.xml.xml,193,41152,41.866909,-89.228497
201 East Falcon Hwy Flanagan IL 61740,Flanagan,26.47,61740,Flanagan Rehab & HCC,1265598,427532,15264,201 East Falcon Hwy,224719,flanagan_rehabilitation_hcc_2014_0050591.xml.xml,5965,50591,40.863344,-88.910168
701 Shadwell Avenue Flora IL 62839,Flora,21.99,62839,Flora Gardens Care Center,1806190,412805,20174,701 Shadwell Avenue,376164,flora_gardens_care_center_2014_0050666.xml.xml,9212,50666,38.676577,-88.47828
232 Given Street Flora IL 62839,Flora,22.79,62839,Flora Rehab & Hlth Care Ctr,1934084,455784,24127,232 Given Street,706112,flora_rehab_health_care_ctr_2014_0052266.xml.xml,9857,52266,38.678906,-88.490017
546 E Grant Highway Marengo IL 60152,Marengo,23.78,60152,Florence Nursing Home,1084999,1236000,16717,546 E Grant Highway,713130,florence_nursing_home_2014_0041657.xml.xml,8046,41657,42.246516,-88.602514
3951 West 190th St Flossmoor IL 60422,Flossmoor,0,60422,Flossmoor Terrace,1040639,151205,5435,3951 West 190th St,0,flossmoor_terrace_2014_0043232.xml.xml,0,43232,41.544241,-87.71245
901 Illini Drive East Peoria IL 61611,East Peoria,,61611,Fondulac Rehab & Hlth Care C,2805032,245039,25165,901 Illini Drive,301892,fondulac_rehab_health_care_c_2014_0047472.xml.xml,,47472,40.678581,-89.535688
321 Arnold Avenue Rockford IL 61108,Rockford,32.63,61108,Forest City Rehab & Nrsg Ctr,4199587,117898,41437,321 Arnold Avenue,625390,forest_city_rehab_nrsg_ctr_2014_0052803.xml.xml,5261,52803,42.264057,-89.007889
535 South Elm Itasca IL 60143,Itasca,29.87,60143,Forest View Rehab & Nrsg Ctr,4364968,407386,33802,535 South Elm,1833434,forest_view_rehab_nrsg_ctr_2014_0051516.xml.xml,16598,51516,41.961864,-88.011915
4617 WONDERLAND DR ALTON IL 62002,ALTON,27.48,62002,FOSTERBURG TERRACE,0,0,5584,4617 WONDERLAND DR,0,fosterburg_terrace_2014_0039123.xml.xml,1550,39123,38.918867,-90.10689
1001 A Jefferson Street Eldorado IL 62930,Eldorado,24.3,62930,Fountainview,1872045,1524068,35185,1001 A Jefferson Street,440487,fountainview_2014_0020628.xml.xml,6625,20628,37.808772,-88.431902
1270 Franciscan Dr Lemont IL 60439,Lemont,30.31,60439,Franciscan Village,1113342,11966030,40269,1270 Franciscan Dr,4900478,franciscan_village_2014_0045419.xml.xml,33261,45419,41.679496,-87.973072
2500 E St Louis St West Frankfort IL 62896,West Frankfort,22.22,62896,Frankfort Hlthcr & Rehab Ctr,1161461,233130,14037,2500 E St Louis St,808737,frankfort_hlthcare_rehab_ctr_2014_0046268.xml.xml,4835,46268,37.899933,-88.915707
40 North Smith St Frankfort IL 60423,Frankfort,26.53,60423,Frankfort Terrace Nrsing Ctr,4900258,0,41686,40 North Smith St,0,frankfort_terrace_nursing_ctr_2014_0051706.xml.xml,4015,51706,41.50051,-87.851728
502 North State St Franklin Grove IL 61031,Franklin Grove,24.71,61031,Franklin Grove Lvg  Rehab,2545759,2544176,35942,502 North State St,1737887,franklin_grove_living_rehab_2014_0051599.xml.xml,4434,51599,41.846235,-89.303332
746 Urbanna Drive Freeburg IL 62243,Freeburg,25.48,62243,Freeburg Care Center,1708550,2562960,35257,746 Urbanna Drive,502504,freeburg_care_center_2014_0025098.xml.xml,7596,25098,38.410795,-89.896124
4 Hill Mine Road Freeburg IL 62243,Freeburg,0,62243,Freeburg Terrace,560465,125674,5763,4 Hill Mine Road,0,freeburg_terrace_2014_0036582.xml.xml,0,36582,38.416945,-89.909078
900 S Kiwanis Dr Freeport IL 61032,Freeport,20.89,61032,Freeport Rehab & Health,1598371,602835,20219,900 S Kiwanis Dr,1299722,freeport_rehab_hlth_2014_0049155.xml.xml,16468,49155,42.289676,-89.670865
2942 Highlandview Dr Freeport IL 61032,Freeport,0,61032,Freeport Terrace,502017,136430,4892,2942 Highlandview Dr,0,freeport_terrace_2014_0033613.xml.xml,0,33613,42.285881,-89.667594
1209 21st Avenue Rock Island IL 61201,Rock Island,27.41,61201,Friendship Manor,1150623,2474234,29783,1209 21st Avenue,741160,friendship_manor_2014_0024760.xml.xml,11383,24760,41.490475,-90.58099
485 S Friendship Dr Nashville IL 62263,Nashville,23.55,62263,Friendship Manor Health Care,1943144,2124231,37610,485 S Friendship Dr,42622,friendship_manor_health_care_2014_0050161.xml.xml,7266,50161,38.34028,-89.394104
826 North High St Carlinville IL 62626,Carlinville,21.28,62626,Friendship Skilled Nsg & Reh,941537,659343,13143,826 North High St,859070,friendship_skilled_nsg_rehab_2014_0042846.xml.xml,6658,42846,39.288949,-89.878553
350 W Schaumburg Rd Schaumburg IL 60194,Schaumburg,32.13,60194,Friendship Vlg Schaumburg,2401748,2906419,76960,350 W Schaumburg Rd,7409630,friendship_village_schaumburg_2014_0023218.xml.xml,67680,23218,42.026899,-88.089972
356 S Michigan Ave Galesburg IL 61401,Galesburg,0,61401,Froehlich House,564914,91785,5383,356 S Michigan Ave,0,froehlich_house_2014_0032201.xml.xml,0,32201,40.942545,-90.339141
3310 Gaines Mill Rd Springfield IL 62704,Springfield,0,62704,Gaines Mill Place,485343,88721,5007,3310 Gaines Mill Rd,0,gaines_mill_place_2014_0035055.xml.xml,0,35055,39.76016,-89.679795
215 Summit Street Galena IL 61036,Galena,26.32,61036,Galena Stauss Nursing Home,1065635,1421129,18327,215 Summit Street,69740,galena_stauss_nursing_home_2014_0049718.xml.xml,6986,49718,42.41941,-90.438513
8345 S Austin Avenue Burbank IL 60459,Burbank,0,60459,Garden Center Services,591366,185216,5038,8345 S Austin Avenue,0,garden_center_services_2014_0036103.xml.xml,0,36103,41.73788,-87.770043
14792 Catlin Tilton Danville IL 61834,Danville,27.11,61834,Gardenview Manor,4029561,598908,43381,14792 Catlin Tilton,2598889,gardenview_manor_2014_0052456.xml.xml,25923,52456,40.099009,-87.662679
1911 18th Street Charleston IL 61920,Charleston,0,61920,Gaylord Tull House,0,0,4758,1911 18th Street,0,gaylord_tull_house_2014_0032672.xml.xml,0,32672,39.479798,-88.162861
309 NW 9th Avenue Aledo IL 61231,Aledo,23.42,61231,Genesis Senior Living Aledo,0,0,,309 NW 9th Avenue,0,genesis_senior_living_aledo_2014_0052118.xml.xml,5061,52118,41.203636,-90.758622
430 East 19th Street Gibson City IL 60936,Gibson City,34.11,60936,Gibson Community Hsp Annex,0,0,8600,430 East 19th Street,0,gibson_community_hsp_annex_2014_0005868.xml.xml,7807,5868,40.478714,-88.368413
1390 S Cresent St Gilman IL 60938,Gilman,25.37,60938,Gilman Healthcare Center,2084204,898678,25979,1390 S Cresent St,2051072,gilman_healthcare_center_2014_0049981.xml.xml,10143,49981,40.747809,-87.996456
8333 West Golf Road Niles IL 60714,Niles,27.91,60714,Glen Bridge N & Rehab Centre,12729976,135804,93875,8333 West Golf Road,1714443,glen_bridge_n_rehab_centre_2014_0035014.xml.xml,73028,35014,42.054622,-87.833597
801 N 1st St Box 698 Vienna IL 62995,Vienna,0,62995,Glen Brook,0,0,4882,801 N 1st St Box 698,0,glen_brook_2014_0037051.xml.xml,0,37051,37.42417,-88.898049
270 Skokie Highway Northbrook IL 60062,Northbrook,27.92,60062,Glen Oaks Nrsg & Rehab Ctr,11145142,382182,94605,270 Skokie Highway,375367,glen_oaks_nrsg_rehab_ctr_0022111.xml.xml,59614,22111,42.150793,-87.800674
2451 West Touhy Ave Chicago IL 60645,Chicago,27.54,60645,Glencrest Hlthcr & Rehab Ctr,13554818,527042,94544,2451 West Touhy Ave,2947131,glencrest_hlthcr_rehab_ctre_2014_0028753.xml.xml,72535,28753,42.012178,-87.691526
2222 West 14th St Waukegan IL 60085,Waukegan,27.3,60085,Glenlake Terrace Nrsg & Reh,9157784,661327,83807,2222 West 14th St,1667403,glenlake_terrace_nursing_reh_2014_0048637.xml.xml,80251,48637,42.33416,-87.860805
22660 S Cicero Ave Richton Park IL 60471,Richton Park,28.56,60471,Glenshire Nrsg & Rehab Ctre,10146509,185903,70828,22660 S Cicero Ave,1387753,glenshire_nursing_rehab_ctre_2014_0039321.xml.xml,54137,39321,41.478748,-87.732422
1511 Greenwood Road Glenview IL 60025,Glenview,27.46,60025,Glenview Terrace Nursing Ctr,7692574,4389089,96196,1511 Greenwood Road,3396372,glenview_terrace_nursing_ctr_2014_0026237.xml.xml,83965,26237,42.078634,-87.839503
19330 S Cottage Grv Glenwood IL 60425,Glenwood,28.19,60425,Glenwood Healthcare & Rehab,7389824,141540,50026,19330 S Cottage Grv,2339096,glenwood_healthcare_rehab_2014_0032839.xml.xml,17979,32839,41.538793,-87.597357
2724 Glenwood Avenue Springfield IL 62704,Springfield,0,62704,Glenwood Terrace Springfield,431070,140709,5009,2724 Glenwood Avenue,0,glenwood_terrace_springfield_2014_0035063.xml.xml,0,35063,39.770066,-89.665574
101 Prairie Mills Rd Golden IL 62339,Golden,22.65,62339,Golden Good Shepherd Home,603173,1338587,14761,101 Prairie Mills Rd,440287,golden_good_shepherd_home_2014_0009175.xml.xml,3503,9175,40.106615,-91.02771
9555 West Golf Road Des Plaines IL 60016,Des Plaines,0,60016,Golfview Developmental Ctr,0,0,47788,9555 West Golf Road,0,golfview_developmental_center_2014_0042614.xml.xml,0,42614,42.053762,-87.862131
310 Mosher Drive Prophetstown IL 61277,Prophetstown,28.38,61277,Good Sam Prophets Riverview,1024450,1684404,20700,310 Mosher Drive,895251,good_sam_prophets_riverview_2014_0012955.xml.xml,13657,12955,41.678186,-89.939377
704 S Illinois St Geneseo IL 61254,Geneseo,26.58,61254,Good Sam Soc Geneseo Village,997035,1774431,21113,704 S Illinois St,1270708,good_sam_soc_geneseo_village_2014_0004721.xml.xml,15387,4721,41.445205,-90.150989
1006 North Lowden Mount Carrol IL 61053,Mount Carrol,27.57,61053,Good Sam Soc Mt Carroll,1083405,1633178,20126,1006 North Lowden,903998,good_sam_soc_mt_carroll_2014_0007344.xml.xml,15800,7344,42.111399,-89.98754
205 North Adams St Flanagan IL 61740,Flanagan,25.14,61740,Good Samaritan Flanagan,0,0,17293,205 North Adams St,0,good_samaritan_flanagan_2014_0050567.xml.xml,4067,50567,40.881365,-88.853856
2130 Harrison Street Quincy IL 62301,Quincy,23.71,62301,Good Samaritan Home,3424282,6127875,70879,2130 Harrison Street,628960,good_samaritan_home_2014_0009258.xml.xml,46195,9258,39.913472,-91.382273
14335 US Highway 66 Pontiac IL 61764,Pontiac,23.01,61764,Good Samaritan Pontiac,0,0,8149,14335 US Highway 66,0,good_samaritan_pontiac_2014_0050575.xml.xml,5003,50575,40.932574,-88.591208
421 N Rochester St Lanark IL 61046,Lanark,0,61046,Gordon Jones Terrace,532614,135264,5221,421 N Rochester St,0,gordon_jones_terrace_2014_0036970.xml.xml,0,36970,42.10507,-89.830244
701 West North Ave Melrose Park IL 60160,Melrose Park,33.61,60160,Gottlieb Memorial Hospital,N/A,0,10622,701 West North Ave,0,gottlieb_memorial_hospital_2014_8008518.xml.xml,31154,8008518,41.908361,-87.843663
210 West Walnut St Canton IL 61520,Canton,0,61520,Graham Hospital,0,0,10299,210 West Walnut St,0,graham_hospital_2014_8000200.xml.xml,0,8000200,40.553328,-90.039253
3500 Century Drive Granite City IL 62040,Granite City,27.48,62040,Granite Nsg & Rehab Center,2258347,838460,28013,3500 Century Drive,2000496,granite_nsg_rehab_center_2014_0046904.xml.xml,5009,46904,38.729997,-90.134158
4621 North Sheridan Chicago IL 60640,Chicago,32.51,60640,Grasmere Place,7214238,49570,69801,4621 North Sheridan,0,grasmere_place_2014_0044271.xml.xml,3881,44271,41.965989,-87.654714
220 North First Street Wheeling IL 60090,Wheeling,31.86,60090,Greek American Rehab & Nursing,5861293,2388193,59435,220 North First Street,935395,greek_american_rehab_care_ct_2014_0044149.xml.xml,46776,44149,42.14374,-87.91224
ON801 Friendship Way Geneva IL 60134,Geneva,33.27,60134,Greenfields of Geneva,0,110150,3714,ON801 Friendship Way,719816,greenfields_of_geneva_2014_0050286.xml.xml,13180,50286,42.019511,-88.364793
1406 Chicago Avenue Evanston IL 60201,Evanston,24.24,60201,Greenwood Care,3705940,137816,46470,1406 Chicago Avenue,0,greenwood_care_2014_0031971.xml.xml,2595,31971,42.042826,-87.68062
6601 West Touhy Niles IL 60714,Niles,35.36,60714,Grosse Pointe Manor,5165702,70925,32392,6601 West Touhy,219558,grosse_pointe_manor_2014_0045203.xml.xml,7348,45203,42.011935,-87.791494
212 BACHMAN LANE GODFREY IL 62035,GODFREY,0,62035,GROUP HOME #1,0,0,5493,212 BACHMAN LANE,0,group_home_1_2014_0036947.xml.xml,0,36947,38.955101,-90.179153
224 BACHMAN LANE GODFREY IL 62035,GODFREY,0,62035,GROUP HOME #2,0,0,5375,224 BACHMAN LANE,0,group_home_2_2014_0036939.xml.xml,0,36939,38.955055,-90.176492
302 BACHMAN GODFREY IL 62035,GODFREY,0,62035,GROUP HOME #3,0,0,5501,302 BACHMAN,0,group_home_3_2014_0037614.xml.xml,0,37614,38.955078,-90.17533
314 BACHMAN GODFREY IL 62035,GODFREY,0,62035,GROUP HOME #4,0,0,5178,314 BACHMAN,0,group_home_4_2014_0037622.xml.xml,0,37622,38.955157,-90.175108
308 BACHMAN GODFREY IL 62035,GODFREY,0,62035,GROUP HOME #5,0,0,5712,308 BACHMAN,0,group_home_5_2014_0037713.xml.xml,0,37713,38.955155,-90.175242
320 BACHMAN GODFREY IL 62035,GODFREY,0,62035,GROUP HOME #6,0,0,5605,320 BACHMAN,0,group_home_6_2014_0037721.xml.xml,0,37721,38.95516,-90.174973
2534 Elim Avenue Zion IL 60099,Zion,28.59,60099,Grove at the Lake Lvg & Reh,9212133,479748,69963,2534 Elim Avenue,360420,grove_at_the_lake_lvg_rehab_2014_0051581.xml.xml,31169,51581,42.449113,-87.823984
2732 N Hampden Ct Chicago IL 60614,Chicago,33.28,60614,Grove Lincoln Park Lvg  Reh,1595104,744437,28970,2732 N Hampden Ct,8399991,grove_lincoln_park_lvg_rehab_2014_0050245.xml.xml,16728,50245,41.931511,-87.641982
500 Asbury Street Evanston IL 60202,Evanston,28.35,60202,The Grove of Evanston,2877660,410075,32989,500 Asbury Street,687481,grove_of_evanston_2014_0050948.xml.xml,25182,50948,42.026738,-87.690081
